# iters=5000 n_orient=8 n_actions=6 allowed_actions=3
# orient=0 action=0
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000789,0.0000014412,0.0000010745,0.0000005622,0.0000000006,0.0000006200,0.0000000016,0.0000019794,0.0000021354,0.0000017031,0.0000000001,0.0000000001,0.0414704330,0.0447122137,0.0472428767,0.0496236837,0.0502954543,0.0402354073,0.0292801840,0.0234912739,0.0173855713,0.0000183188,0.1117326338,0.0750671453,0.0000000292,0.0157550695,0.0166141902,0.0103345315,0.0210045397,0.0162369111,0.0162301169,0.0173919878,0.0000007669,0.0000007576,0.0000009494,0.0000021274,0.0000025953,0.0000024042,0.0000000010,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000001409,0.0000000001,0.0000001567,0.0000000002,0.0000003147,0.0000005562,0.0000007255,0.0000008356,0.0000009092,0.0000009654,0.0000010154,0.0000010113,0.0000000019,0.0000000001,0.0000000003,0.0000001787,0.0000000014,0.0000001991,0.0000003927,0.0000005778,0.0000007500,0.0000009057,0.0000010424,0.0000011590,0.0000012552,0.0000013321,0.0000013924,0.0000014400,0.0000014791,0.0000015131,0.0000015437,0.0000015710,0.0000015941,0.0000016124,0.0000016260,0.0000016366,0.0000016463,0.0000016568,0.0000016685,0.0000016804,0.0000016906,0.0000016979,0.0000017021,0.0000017046,0.0000017073,0.0000017119,0.0000017185,0.0000017260
0.0000000000,0.0000000983,0.0000016849,0.0000012533,0.0000006657,0.0000000005,0.0000007752,0.0000000013,0.0000023272,0.0000019032,0.0000020636,0.0000027268,0.0631581602,0.0679456618,0.0746044144,0.0809832735,0.0728905296,0.0589245129,0.0417331050,0.0276388839,0.0201181994,0.0167940611,0.0000098723,0.0000480350,0.0153147561,0.0164169252,0.0165126713,0.0210475343,0.0202973018,0.0187972915,0.0190993509,0.0185043515,0.0000007855,0.0000007752,0.0000036315,0.0000036969,0.0000034967,0.0000000021,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000001677,0.0000000001,0.0000001813,0.0000000001,0.0000003459,0.0000005984,0.0000007739,0.0000008913,0.0000009748,0.0000010423,0.0000011046,0.0000011015,0.0000000018,0.0000000001,0.0000000002,0.0000001898,0.0000000013,0.0000002107,0.0000004157,0.0000006145,0.0000008037,0.0000009806,0.0000011434,0.0000012907,0.0000014215,0.0000015349,0.0000016306,0.0000017102,0.0000017767,0.0000018341,0.0000018856,0.0000019330,0.0000019761,0.0000020137,0.0000020446,0.0000020692,0.0000020895,0.0000021082,0.0000021274,0.0000021478,0.0000021681,0.0000021859,0.0000021995,0.0000022089,0.0000022159,0.0000022229,0.0000022320,0.0000022436,0.0000022561
0.0000000000,0.0000000000,0.0000001187,0.0000019151,0.0000014965,0.0000008165,0.0000000004,0.0000010362,0.0000000008,0.0000029410,0.0000032696,0.0000033066,0.0779570769,0.0858557970,0.0956990549,0.0930477892,0.0872725970,0.0764532734,0.0597836897,0.0396909585,0.0278881406,0.0200053200,0.0180168030,0.0168744117,0.0159679368,0.0177967173,0.0218328847,0.0230784234,0.0227224037,0.0216409762,0.0205307470,0.0000008577,0.0178643203,0.0000305128,0.0000038954,0.0000037426,0.0000000079,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000002062,0.0000000001,0.0000002143,0.0000000001,0.0000003832,0.0000006453,0.0000008164,0.0000009252,0.0000010026,0.0000010678,0.0000011304,0.0000011192,0.0000000015,0.0000000001,0.0000000002,0.0000002025,0.0000000012,0.0000002234,0.0000004410,0.0000006516,0.0000008508,0.0000010347,0.0000012014,0.0000013511,0.0000014850,0.0000016039,0.0000017081,0.0000017977,0.0000018741,0.0000019399,0.0000019986,0.0000020530,0.0000021045,0.0000021525,0.0000021951,0.0000022310,0.0000022605,0.0000022854,0.0000023086,0.0000023326,0.0000023578,0.0000023828,0.0000024051,0.0000024228,0.0000024357,0.0000024458,0.0000024559,0.0000024682,0.0000024832,0.0000024991
0.0000000001,0.0000000000,0.0000000000,0.0000001623,0.0000021637,0.0000018438,0.0000010576,0.0000000003,0.0000014853,0.0000000003,0.0000000002,0.0764756905,0.0916597927,0.1058240035,0.1096148647,0.1001060431,0.0951589926,0.0907635378,0.0825438387,0.0649984444,0.0337658213,0.0253900980,0.0211322309,0.0179729826,0.0169839746,0.0179492945,0.0209588959,0.0226792890,0.0251377039,0.0213961149,0.0182079390,0.0000007518,0.0000007395,0.0003978094,0.0000323959,0.0000058262,0.0000001237,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001438,0.0000001219,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000002672,0.0000000001,0.0000002614,0.0000000001,0.0000004285,0.0000006961,0.0000008585,0.0000009573,0.0000010291,0.0000010925,0.0000011554,0.0000011345,0.0000000013,0.0000000001,0.0000000002,0.0000002173,0.0000000011,0.0000002378,0.0000004688,0.0000006923,0.0000009026,0.0000010946,0.0000012652,0.0000014152,0.0000015473,0.0000016645,0.0000017686,0.0000018601,0.0000019392,0.0000020072,0.0000020665,0.0000021204,0.0000021716,0.0000022213,0.0000022684,0.0000023109,0.0000023471,0.0000023771,0.0000024028,0.0000024272,0.0000024526,0.0000024796,0.0000025066,0.0000025309,0.0000025505,0.0000025651,0.0000025768,0.0000025885,0.0000026026,0.0000026195,0.0000026374
0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000003017,0.0000023697,0.0000023617,0.0000015046,0.0000000001,0.0000000001,0.0775892869,0.0994174427,0.1184532171,0.1273692614,0.1189244576,0.1089027833,0.1049416036,0.0994923334,0.0948196248,0.0921550016,0.0883629244,0.0267967188,0.0216900146,0.0213706910,0.0208357467,0.0189964651,0.0172881631,0.0258018599,0.0223304234,0.0193392462,0.0180470868,0.0000007648,0.0000007138,0.0000007064,0.0000126957,0.0000000004,0.0000000000,0.0000002474,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000003802,0.0000000001,0.0000003352,0.0000000001,0.0000004853,0.0000007504,0.0000008978,0.0000009852,0.0000010527,0.0000011159,0.0000011808,0.0000011506,0.0000000011,0.0000000001,0.0000000002,0.0000002347,0.0000000010,0.0000002544,0.0000005001,0.0000007372,0.0000009593,0.0000011599,0.0000013354,0.0000014860,0.0000016157,0.0000017292,0.0000018303,0.0000019208,0.0000020008,0.0000020700,0.0000021294,0.0000021815,0.0000022295,0.0000022759,0.0000023218,0.0000023660,0.0000024061,0.0000024404,0.0000024688,0.0000024933,0.0000025169,0.0000025419,0.0000025688,0.0000025960,0.0000026206,0.0000026405,0.0000026554,0.0000026675,0.0000026797,0.0000026944,0.0000027122,0.0000027310
0.0000008624,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000027568,0.0000021653,0.0000017098,0.0000021479,0.0000040175,0.1044520944,0.1230868277,0.1543984929,0.1879176821,0.9704580197,0.0017153913,0.1599265098,0.1565673727,0.1552047736,0.1528323436,0.1055856511,0.3155129049,0.0187742302,0.0000009389,0.0209470187,0.0190154094,0.0160274780,0.0145168925,0.0179660046,0.0176165541,0.0181616868,0.0000007612,0.0000007600,0.0000006499,0.0000001702,0.0000002035,0.0000000000,0.0000000000,0.0000006521,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000006491,0.0000000000,0.0000004685,0.0000000001,0.0000005601,0.0000008077,0.0000009331,0.0000010085,0.0000010727,0.0000011369,0.0000012050,0.0000011660,0.0000000009,0.0000000001,0.0000000002,0.0000002552,0.0000000010,0.0000002738,0.0000005364,0.0000007878,0.0000010214,0.0000012305,0.0000014110,0.0000015629,0.0000016906,0.0000017999,0.0000018963,0.0000019834,0.0000020622,0.0000021322,0.0000021929,0.0000022447,0.0000022902,0.0000023325,0.0000023741,0.0000024160,0.0000024567,0.0000024938,0.0000025255,0.0000025515,0.0000025738,0.0000025956,0.0000026193,0.0000026451,0.0000026715,0.0000026955,0.0000027148,0.0000027292,0.0000027407,0.0000027526,0.0000027672,0.0000027850,0.0000028039
0.0000016854,0.0000011368,0.0000000001,0.0000000001,0.0000000000,0.0000000064,0.0000027628,0.0000033478,0.0000045663,0.0000050462,0.1305861678,0.1732496929,0.2381285353,0.9527632028,0.0001846297,0.1064678003,0.0407352407,0.1551955801,0.1531787763,0.1061226354,0.2523638811,0.0242308036,0.0000325555,0.0189359764,0.0000009083,0.0200734716,0.0183281201,0.0108020564,0.0148428175,0.0180905767,0.0173698255,0.0000007605,0.0000007766,0.0000002810,0.0000000000,0.0000000000,0.0000004150,0.0000000000,0.0000000000,0.0000007182,0.0165184301,0.0043847949,0.0019359892,0.0133558017,0.0149210918,0.0143595453,0.0000000000,0.0000000000,0.0000007440,0.0000000000,0.0000006641,0.0000008662,0.0000009643,0.0000010287,0.0000010905,0.0000011560,0.0000012277,0.0000011799,0.0000000008,0.0000000001,0.0000000002,0.0000002794,0.0000000009,0.0000002969,0.0000005791,0.0000008462,0.0000010910,0.0000013070,0.0000014912,0.0000016445,0.0000017711,0.0000018770,0.0000019683,0.0000020502,0.0000021254,0.0000021944,0.0000022560,0.0000023092,0.0000023545,0.0000023941,0.0000024313,0.0000024685,0.0000025065,0.0000025439,0.0000025780,0.0000026067,0.0000026301,0.0000026501,0.0000026698,0.0000026916,0.0000027160,0.0000027411,0.0000027640,0.0000027822,0.0000027955,0.0000028061,0.0000028172,0.0000028311,0.0000028485,0.0000028671
0.0000022182,0.0000019910,0.0000016683,0.0000000001,0.0000000000,0.0000000000,0.0000000046,0.1038545527,0.0000055471,0.0000063380,0.1783744904,0.2606956430,0.5618305289,0.7536038834,0.0000079344,0.0002031138,0.1051920938,0.1420559968,0.0469109853,0.0000128639,0.0000000010,0.0000000200,0.0003815058,0.0000007808,0.0000008211,0.0190046898,0.0190832506,0.0134659455,0.0061244572,0.0171376603,0.0170762300,0.0000002974,0.0000004869,0.0000007019,0.0000000001,0.0000000000,0.0000000001,0.0000007099,0.0086510377,0.0076179536,0.0058685194,0.0163704550,0.0167399243,0.0168545827,0.0171042417,0.0165537112,0.0163988333,0.0000000000,0.0000000000,0.0000008182,0.0000009193,0.0000009915,0.0000010489,0.0000011094,0.0000011761,0.0000012509,0.0000011939,0.0000000006,0.0000000001,0.0000000002,0.0000003083,0.0000000008,0.0000003244,0.0000006299,0.0000009149,0.0000011704,0.0000013911,0.0000015765,0.0000017297,0.0000018555,0.0000019594,0.0000020468,0.0000021233,0.0000021931,0.0000022584,0.0000023190,0.0000023734,0.0000024202,0.0000024597,0.0000024941,0.0000025266,0.0000025598,0.0000025944,0.0000026286,0.0000026598,0.0000026859,0.0000027067,0.0000027242,0.0000027417,0.0000027617,0.0000027844,0.0000028081,0.0000028296,0.0000028464,0.0000028585,0.0000028679,0.0000028778,0.0000028909,0.0000029075,0.0000029255
0.0000025990,0.0000023832,0.0000020051,0.0000020439,0.0000019549,0.0403647192,0.0000010536,0.0000000008,0.0000066506,0.1536299868,0.2530515112,0.4426226179,0.6182606381,0.4703807966,0.0000321880,0.0000078616,0.0001762673,0.0041384760,0.0000013394,0.0000007532,0.0000006870,0.0000000000,0.0000000000,0.0000007202,0.0178229757,0.0205558926,0.0179227634,0.0189242600,0.0172249195,0.0069616310,0.0067929923,0.0156148270,0.0102958718,0.0000007928,0.0048008323,0.0157528190,0.0103286512,0.0095602000,0.0165310132,0.0182920328,0.0182853197,0.0191639536,0.0191731499,0.0191007200,0.0180711368,0.0189197528,0.0207957602,0.0000009368,0.0000009327,0.0000009581,0.0000010188,0.0000010718,0.0000011314,0.0000012000,0.0000012777,0.0000012117,0.0000000005,0.0000000001,0.0000000002,0.0000003434,0.0000000007,0.0000003571,0.0000006903,0.0000009961,0.0000012624,0.0000014852,0.0000016680,0.0000018184,0.0000019426,0.0000020454,0.0000021307,0.0000022032,0.0000022674,0.0000023271,0.0000023840,0.0000024375,0.0000024856,0.0000025268,0.0000025611,0.0000025909,0.0000026193,0.0000026488,0.0000026801,0.0000027115,0.0000027400,0.0000027635,0.0000027818,0.0000027971,0.0000028124,0.0000028305,0.0000028515,0.0000028737,0.0000028938,0.0000029092,0.0000029199,0.0000029280,0.0000029367,0.0000029487,0.0000029644,0.0000029816
