# iters=5000 n_orient=8 n_actions=6 allowed_actions=3
# orient=0 action=0
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0016566200,0.0012744385,0.0007362920,0.0000860538,0.0001707184,0.0013476397,0.0010614377,0.0000470784,0.0002903227,0.0027387947,0.0026968387,0.0020228824,0.0010387289,0.0120228876,0.1294444121,0.1214558088,0.0020801877,0.0015074207,0.0857278674,0.2513111454,0.9604238968,0.1400010493,0.0045780407,0.1792586116,0.0020176654,0.0000391579,0.0020394057,0.2070410575,0.9970680935,0.0040706667,0.0000649110,0.0040659079,0.0000624041,0.0000363523,0.0010199401,0.0000015340,0.0000004256,0.0016299054,0.0000868112,0.0000404042,0.0010378338,0.0023963545,0.0002275262,0.0000389761,0.0000278793,0.0000628432,0.0001482867,0.0000388603,0.0000370600,0.0000379700,0.0000407580,0.0000521697,0.0000879059,0.0008537310,0.0014759792,0.0014811061,0.0014438383,0.0012831431,0.0010227660,0.0006471338,0.0001571022,0.0006087894,0.0000809864,0.0005699678,0.0019364430,0.0000464144,0.0010354361,0.0000105545,0.0000006586,0.0304636551,0.2467091518,0.0149646262,0.0016073948,0.7433671615,0.0704082735,0.0000493575,0.1086520047,0.0118432775,0.0030108780,0.0017343686,0.0013655063,0.0014903403,0.0001898758,0.0000429474,0.0000393597,0.0000338301,0.0000427337,0.0000780242,0.0006053257,0.0001798939,0.0000375388,0.0000328235,0.0000382193,0.0000555112,0.0001002109,0.0002196384,0.0000561801,0.0000576309,0.0000794733,0.0000779499
0.0022445609,0.0019371032,0.0014738227,0.0008693529,0.0000702588,0.0001654782,0.0016573348,0.0014158021,0.0000309610,0.0003296072,0.0043310866,0.0043261625,0.0020659853,0.0030044922,0.0126115558,0.0931164309,0.0025454088,0.0026836617,0.1971574422,0.2199616571,0.0744824677,0.0049425384,0.1338764265,0.1417242564,0.2462572808,0.9402748954,0.2902004485,0.5558631062,0.5025248790,0.0038983739,0.0000648921,0.0000651777,0.0000648306,0.0000622823,0.0000163819,0.0000711506,0.0020367061,0.0010561000,0.0015102437,0.2506596579,0.0049906129,0.0005751526,0.0008741242,0.0000169689,0.0000500473,0.0002752994,0.0000393503,0.0000358763,0.0000362957,0.0000377824,0.0000462551,0.0000731668,0.0010444689,0.0018095192,0.0007321504,0.0006551020,0.0017245144,0.0016326445,0.0014261887,0.0011326831,0.0007327785,0.0001294787,0.0008000910,0.0000611953,0.0005857317,0.0038513404,0.0000263649,0.0000007303,0.1773295153,0.0476943926,0.0000047028,0.0176895768,0.0013826040,0.0000021447,0.0000256608,0.1049978955,0.0140951218,0.0485488791,0.0139617005,0.0039528911,0.0023478056,0.0003304181,0.0000449777,0.0000421276,0.0000322441,0.0000356229,0.0000635033,0.0007384876,0.0003166105,0.0000414802,0.0000308937,0.0000331614,0.0000481072,0.0000895289,0.0003020373,0.0000559644,0.0000519603,0.0000790212,0.0000824522,0.0000648097
0.0026621574,0.0024617827,0.0021864694,0.0017284951,0.0010750672,0.0000533441,0.0001574626,0.0020399193,0.0021551804,0.0000251001,0.0000016035,0.0043418894,0.3922666630,0.9074624233,0.0000347121,0.0001790073,0.0031221989,0.1372149011,0.1532586252,0.1295941608,0.1631016654,0.2808152151,0.9402055323,0.0083475077,0.9866590272,0.0447504325,0.1434735623,0.3963823528,0.0082045048,0.0014041099,0.0019938696,0.1997231665,0.9402668444,0.2080967876,0.8601050819,0.0010882182,0.0009321505,0.0010348883,0.0000325020,0.0000467432,0.0073442670,0.0006715515,0.0000624461,0.0000350207,0.0006362187,0.0000413465,0.0000346184,0.0000351291,0.0000352256,0.0000417895,0.0000577494,0.0013663897,0.0022755888,0.0010705668,0.0000541372,0.0000596526,0.0008444166,0.0018208412,0.0017284946,0.0015359303,0.0012531199,0.0008540650,0.0000984575,0.0012048305,0.0000401527,0.0005357633,0.0238215903,0.1082951762,0.0011614828,0.0030288869,0.1405278171,0.0004220699,0.0016660662,0.0773450730,0.1018815990,0.0000452634,0.0009971733,0.0050582584,0.0021360281,0.0038606649,0.0005388545,0.0000559479,0.0000524568,0.0000359410,0.0000292073,0.0000482495,0.0009123225,0.0005926030,0.0000517862,0.0000308563,0.0000281877,0.0000405094,0.0000767163,0.0004297741,0.0000586738,0.0000451110,0.0000764721,0.0000921382,0.0000582661,0.0000945379
0.0030091523,0.0028869845,0.0026985024,0.0024649449,0.0020584020,0.0014324697,0.0000364494,0.0001253204,0.0019834703,0.0019766663,0.0026962948,0.2175758723,0.2451446667,0.0707668797,0.8441243646,0.0024922215,0.1533176180,0.2270278167,0.1842637853,0.2270527966,0.3040375713,0.4124019099,0.1963912432,0.4457439843,0.9608601494,0.0043017977,0.0568007287,0.0092915686,0.0027247023,0.0039888542,0.0063628504,0.9868512106,0.0613483720,0.1863763132,0.0300445232,0.0020134314,0.0000010269,0.0014910206,0.0000285977,0.0000004821,0.0021679875,0.0000515333,0.0000592049,0.0032405574,0.0000463618,0.0000351097,0.0000321342,0.0000311647,0.0000336903,0.0000418451,0.0020168422,0.0029845447,0.0015064142,0.0000592521,0.0000373458,0.0000387292,0.0000722870,0.0010466299,0.0019050490,0.0018259007,0.0016494036,0.0013870696,0.0010445761,0.0000652857,0.0021823857,0.0000299342,0.0000028392,0.0020181311,0.1141724123,0.0041936945,0.0077455491,0.0852816207,0.1120576379,0.1541044462,0.2580354912,0.2029808269,0.0000416450,0.0000665085,0.0019789521,0.0002076375,0.0000258694,0.0000634144,0.0001929488,0.0000256776,0.0000325246,0.0011668222,0.0012274122,0.0000924231,0.0000351619,0.0000235569,0.0000328477,0.0000624681,0.0006123587,0.0000695600,0.0000371756,0.0000706384,0.0001119847,0.0000514396,0.0000847691,0.0002287512
0.0033081785,0.0032396210,0.0031552252,0.0029745235,0.0027394967,0.0024312037,0.0021861916,0.0000297755,0.0000011568,0.0030929978,0.1389364016,0.1953632357,0.3323716684,0.8742953281,0.0294637171,0.0041684844,0.3612341679,0.8791757296,0.0055707517,0.2816219876,0.3072570501,0.3648272902,0.3842071570,0.6063979084,0.4400940074,0.4335208470,0.0000722768,0.0037177173,0.0056259791,0.0095102416,0.4983277743,0.9773470337,0.1769155431,0.0439778848,0.0041617967,0.0079048965,0.1992671985,0.0000401858,0.0013566097,0.0013036290,0.0000334165,0.0000344923,0.0035133919,0.0000905291,0.0000449116,0.0000298232,0.0000282865,0.0000004220,0.0000319636,0.0039689804,0.0039701387,0.0020844721,0.0000776282,0.0000371251,0.0000353810,0.0000368226,0.0000422169,0.0000902609,0.0012588241,0.0019813647,0.0019271265,0.0017620089,0.0015125653,0.0013732177,0.0000879910,0.0000364205,0.1135907067,0.1086408222,0.0065272080,0.1311804007,0.1823995186,0.0023385256,0.1372882781,0.4921573616,0.0970316330,0.9688842921,0.2837502017,0.0025056079,0.0000421565,0.0000237197,0.0000636310,0.0000649268,0.0000011050,0.0000329040,0.0016297685,0.0012550228,0.0007502789,0.0004609275,0.0000202941,0.0000252650,0.0000474087,0.0008300504,0.0001136648,0.0000281558,0.0000608624,0.0001540904,0.0000445000,0.0000730138,0.0002833015,0.0000762181
0.0036040642,0.0035519744,0.0034948143,0.0034766476,0.0033924839,0.0029990570,0.0022573906,0.0021834597,0.0021169009,0.1380081476,0.2092666408,0.3154124427,0.2163157090,0.0597125950,0.0070756326,0.2943053841,0.6254867923,0.5851552483,0.0045206379,0.2874617771,0.3457662054,0.4059122946,0.4670713406,0.5339219983,0.3890537941,0.3999202833,0.2360485312,0.0005194687,0.0132996520,0.3347131970,0.6601033417,0.4566799148,0.4640935599,0.0118120906,0.0114583763,0.1027098715,0.0051147038,0.3935597667,0.1312842291,0.0017292882,0.0816797359,0.1128930807,0.7941548410,0.9930504447,0.2070032531,0.1106618826,0.0019863850,0.1187520762,0.0100168234,0.0029209239,0.0022403317,0.0001189285,0.0000480002,0.0000376375,0.0000335706,0.0000366492,0.0000367036,0.0000534258,0.0001367417,0.0013959428,0.0020396735,0.0020385812,0.0019260904,0.0016055685,0.0008458069,0.0130930786,0.9308563286,0.0036127600,0.1548179847,0.3787686774,0.0434454530,0.0856358423,0.0022210973,0.0000134728,0.0028645390,0.3952638746,0.5087016438,0.3140060499,0.1749148511,0.1667666763,0.9359134535,0.1997462163,0.0019799833,0.0400830135,0.0012244589,0.0012941464,0.0000451236,0.0000354609,0.0000166482,0.0000315619,0.0013126979,0.0017734238,0.0000176088,0.0000475697,0.0002539331,0.0000377631,0.0000594976,0.0003736805,0.0000699645,0.0000875096
0.0039020731,0.0038942583,0.0038751895,0.0037898812,0.0036316494,0.0035662305,0.0034487524,0.0032120659,0.0033568566,0.2241965785,0.2600170239,0.2563976994,0.2006805001,0.2171262565,0.9334569352,0.0136445005,0.6723313332,0.4570550283,0.0050604978,0.3178294485,0.4035923847,0.4349711587,0.4944111313,0.4391199681,0.4323369766,0.3577826600,0.3421426820,0.2252497267,0.0316302469,0.4883288574,0.5727270545,0.3714998078,0.0504225691,0.0151043368,0.0712502925,0.0099964596,0.2773480116,0.0926562587,0.0032599607,0.0022145944,0.0901059317,0.1115414158,0.0076196585,0.2346275725,0.9331772184,0.0056052843,0.1498360337,0.0153417805,0.0649475261,0.0050631752,0.0001699799,0.0000750137,0.0000451953,0.0000419443,0.0000345216,0.0000342502,0.0000346839,0.0000755931,0.0001011306,0.0001240762,0.0014349911,0.0020791329,0.0020986551,0.0021612487,0.0023685440,0.0006081604,0.0413698578,0.1403262710,0.1748549082,0.0765719189,0.1073424503,0.1079010245,0.1173026199,0.1050674529,0.0000337770,0.0001241563,0.0305939206,0.3315270967,0.0055253011,0.0014762240,0.4818721012,0.5364518388,0.0062255246,0.0009268912,0.0001752241,0.0033168475,0.0000352323,0.0000000065,0.0000229113,0.0019207664,0.0023154969,0.0001729746,0.0000324918,0.0005421306,0.0000320633,0.0000446092,0.0005344604,0.0000643446,0.0000724209,0.0010377873
0.0042279963,0.0042297196,0.0042082016,0.0041597385,0.0041153021,0.0040344731,0.0047106641,0.0074693102,0.2131685882,0.0060678574,0.2997050442,0.3839205505,0.8176937219,0.0959822368,0.2580738334,0.3088201933,0.0241224497,0.7433349176,0.0055166514,0.3586949499,0.4634590300,0.4401655307,0.4583600481,0.4295469482,0.4987891150,0.0114756190,0.3596007615,0.3697497762,0.2831415272,0.1535972210,0.4127670865,0.0856238250,0.0187807133,0.0564822340,0.0146513435,0.2119429600,0.0729663491,0.0058021593,0.0105113477,0.1505277062,0.0024562228,0.1065950976,0.1133402727,0.1939183108,0.8615864465,0.0601583090,0.0031380862,0.0042767262,0.0001141004,0.0000309940,0.0013401023,0.0007193201,0.0000470696,0.0000462852,0.0000446992,0.0000273558,0.0000486902,0.0004187187,0.0003989138,0.0000724272,0.0001036816,0.0015328954,0.0021471374,0.0021975914,0.0023009795,0.0025697652,0.1437150164,0.1874973849,0.1959518740,0.1129037984,0.1382530126,0.1542172697,0.1665581988,0.0038355819,0.1660847393,0.0068414709,0.0027197063,0.0133653346,0.0802790564,0.0019089687,0.0069797863,0.1530479380,0.0007128242,0.0021429487,0.0033453607,0.0000155571,0.0033239300,0.0010372246,0.0016754608,0.1445230737,0.0000052125,0.0000028769,0.0020868974,0.0000340427,0.0000288895,0.0008515007,0.0000603107,0.0000567278,0.0013569343,0.0019492525
0.0045721152,0.0046012596,0.0046147106,0.0046673022,0.0049574185,0.0064161345,0.0111285705,0.1387845907,0.0116592096,0.2681211013,0.0118434999,0.6240018176,0.6160838049,0.0040155837,0.0141407946,0.0001348467,0.0414621745,0.0233140598,0.2907235024,0.4603054113,0.7704769116,0.0292504054,0.4343400865,0.4650931356,0.4857374238,0.3394129848,0.0216248445,0.3213034900,0.3474200365,0.2522677969,0.1002619791,0.0229503577,0.0472761828,0.0189636501,0.1701566789,0.0612623327,0.0081789017,0.0139451182,0.1081318090,0.0151054427,0.1205475494,0.0015001142,0.1833157996,0.3595975106,0.4922789247,0.0061226548,0.0004111822,0.0000409465,0.0000364261,0.0000184235,0.0000170463,0.0028563555,0.0000511798,0.0000451141,0.0000719520,0.0000332387,0.0007640784,0.0000436941,0.0001213675,0.0008680949,0.0000562858,0.0000890905,0.0017331736,0.0021531884,0.0023574627,0.0030964579,0.2271736561,0.1595540944,0.2033498852,0.1358348569,0.1740721991,0.1981793889,0.0049088201,0.1859380530,0.0130008667,0.1146483775,0.0104095174,0.0003177176,0.0006538903,0.0015384400,0.0000073595,0.1290584928,0.8701258092,0.0040920841,0.2082651988,0.5033421982,0.0222961862,0.0836966167,0.0034513587,0.0001157422,0.0025599221,0.0035538721,0.0000004724,0.0000236088,0.0015556796,0.0000498094,0.0000406167,0.0020013776,0.0022826487,0.0024386862
