# iters=1000 n_orient=8 n_actions=6 allowed_actions=3
# orient=0 action=0
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0042814625,0.0863955691,0.0708684466,0.1033112884,0.0434103552,0.0506728270,0.1213650824,0.1027914051,0.0693091709,0.1017020017,0.0679970388,0.0209442499,0.0861617092,0.1336481737,0.1564913445,0.1462849178,0.1313019380,0.1693770453,0.1790341329,0.1458642947,0.0576651568,0.0500764337,0.1800545054,0.4742954700,0.1185576315,0.0163470681,0.0298979934,0.0219975099,0.0554937781,0.4525792368,0.0375882241,0.0041249090,0.0699768866,0.0395737692,0.0588592175,0.0406127070,0.0090294020,0.0562558672,0.0642206637,0.0071840858,0.0371375207,0.0332740734,0.0049149741,0.0394781869,0.0142442694,0.0066926218,0.0127852092,0.1167143062,0.0033269924,0.0053265901,0.0946218585,0.0242569947,0.0272881506,0.0204881811,0.0469364856,0.0767655717,0.0435466130,0.0159274047,0.0463519531,0.1283700563,0.0536635445,0.0119938702,0.0059586958,0.1192823682,0.1951535632,0.0073861698,0.0063847052,0.1293831380,0.0444896050,0.0445972256,0.2297190573,0.0818234343,0.0280703716,0.1054438289,0.1079650181,0.0158673107,0.0163927946,0.1404245236,0.0858515528,0.0367303447,0.0549383319,0.0088682990,0.0158086024,0.0072241762,0.0301845861,0.1205144470,0.1224966471,0.0182627125,0.0081590104,0.0298931960,0.0355102554,0.0209625679,0.0165114883,0.1727156745,0.0097147072,0.0346477430,0.0150960601,0.0139793446,0.3042883989,0.1104937861
0.0112588917,0.0192837345,0.1430339899,0.0412089298,0.0602829057,0.0716002255,0.1729895940,0.1591316567,0.1069961874,0.0640217933,0.0743010040,0.0974571305,0.1079695381,0.1294801472,0.2208409827,0.2029488482,0.0668923935,0.2906442002,0.2474433417,0.1659964478,0.1843510586,0.2915586724,0.1043195015,0.3441402098,0.0542468756,0.0461220416,0.1248328025,0.1344521750,0.0861387103,0.0226185861,0.0327981269,0.1046920354,0.1057611774,0.0487467635,0.0053548623,0.0306384276,0.2886024753,0.0328023509,0.0115973774,0.2521976019,0.0370881689,0.0323573427,0.0303213482,0.0130975541,0.0142086270,0.0838039116,0.0408000179,0.0139339683,0.1258790077,0.0151638295,0.0129160521,0.1227507749,0.0162947490,0.0017187435,0.0696810788,0.0459008013,0.0237845966,0.0120851579,0.0068764047,0.0161876084,0.0470452052,0.2503053172,0.1280755429,0.0200514881,0.0133310592,0.0161282823,0.1083386937,0.0654527381,0.0167640405,0.0995312655,0.0743058812,0.0142349217,0.0284841686,0.3056393818,0.1158130112,0.1225000439,0.0933330895,0.0579976283,0.0666035287,0.0394184702,0.0970531343,0.0141626648,0.0079139892,0.0922452283,0.0804508827,0.1474183930,0.0312884819,0.0046751347,0.0297015068,0.0429175145,0.0337135097,0.0415529530,0.0110453834,0.0062515395,0.3110445655,0.0209052592,0.0302070914,0.0968249797,0.0353062429,0.1876625791
0.1083721835,0.0085101605,0.0874250481,0.0505453341,0.0794210071,0.0755568143,0.2222987260,0.1901421370,0.1271208254,0.1114705556,0.1506522805,0.1524986359,0.1327957248,0.1409928530,0.1145068321,0.1198993447,0.1168825097,0.1310494877,0.1723027176,0.1952899610,0.1749847353,0.1675392373,0.2076169554,0.1313057866,0.0220804782,0.1619522885,0.2351256825,0.1906645090,0.1811041679,0.2644062220,0.1689356316,0.0523382287,0.0276170928,0.0036283715,0.0764684819,0.0818278271,0.0061101418,0.1599335205,0.0251584747,0.0151542557,0.0802129361,0.0252008278,0.0385424063,0.0253931906,0.0149738908,0.0363210450,0.0663155113,0.0107822325,0.0110075852,0.0318353101,0.0410311087,0.0080035932,0.1029411901,0.0774477599,0.0397690248,0.0311535079,0.1195333587,0.0672403002,0.0780682878,0.0690967640,0.3007861426,0.0740584271,0.0553507575,0.1459852703,0.2301770470,0.1071604615,0.0186684615,0.0612446760,0.1728217630,0.0480887351,0.0424207444,0.0829278720,0.0827643385,0.0189259262,0.0877677014,0.1312385955,0.0761634082,0.0672166103,0.0204785384,0.0927825487,0.0263877297,0.0030535376,0.0285550231,0.0602300740,0.0652426908,0.0375069625,0.0389658271,0.0890391478,0.1168558164,0.0135213487,0.0194874801,0.0175194342,0.0448709082,0.0850166240,0.0285330264,0.0883461047,0.0485539774,0.0190009837,0.0179104958,0.0188795779
0.1312640092,0.0285554856,0.0015036179,0.0436773091,0.1337240730,0.0523854075,0.2863751914,0.3299971922,0.0549579551,0.0759598383,0.2333681119,0.2214732511,0.2206753205,0.1586991844,0.1110087166,0.1947106882,0.1741572643,0.1369297884,0.1912883896,0.2550351231,0.0985054614,0.2326946183,0.1890909169,0.0893214945,0.2043338155,0.1267006108,0.5013596054,0.1057434872,0.3637095388,0.4850737568,0.0474312155,0.0105829266,0.0836935035,0.1272723308,0.0317913519,0.0503458901,0.0373739027,0.0330729196,0.0456821810,0.0707383691,0.0126276843,0.0454128371,0.0140352396,0.0581379715,0.1216066620,0.0219807195,0.1040654612,0.0452596529,0.1082468394,0.0092251592,0.0381701633,0.0896178409,0.0220615448,0.0875521797,0.0296640289,0.0203538443,0.1382920860,0.0233592444,0.0547141514,0.1058314713,0.0480829688,0.0272267400,0.0544324307,0.0204265280,0.0075202997,0.0410761823,0.1144967680,0.1116682856,0.1275120281,0.1413668327,0.1048331098,0.1152432929,0.1884254208,0.1315821896,0.0186563097,0.0850411649,0.0196735034,0.0175888530,0.1344749173,0.0348520609,0.0055719421,0.0804421818,0.0789242267,0.1252053066,0.0242494052,0.0056651246,0.0049472194,0.0313543234,0.0190785613,0.0376852560,0.1017258300,0.1141422598,0.0591724457,0.0116105854,0.0258466438,0.0306860120,0.0112618518,0.0207569411,0.0107623780,0.0176704232
0.0352491021,0.0827700523,0.0877267669,0.0114982815,0.0549871851,0.1917866634,0.1014571993,0.0244787294,0.1016955492,0.1235692342,0.0966104001,0.2777041413,0.2475027226,0.1918843092,0.1301155448,0.1043003476,0.2313861104,0.2912747311,0.0622685510,0.1115345249,0.4587705113,0.0329702878,0.0324978622,0.2794637086,0.0520789552,0.3481920907,0.4584520543,0.2772782622,0.3724284494,0.1423145703,0.1092933484,0.1639554273,0.0184549774,0.0327062989,0.0322495601,0.0356641430,0.0400887756,0.0369011341,0.0468715132,0.0413503754,0.0539896350,0.0480421325,0.0368990026,0.0854434305,0.0520032638,0.0483052657,0.0627706263,0.0228230468,0.1040233778,0.0573877194,0.0837563163,0.0148875930,0.0191581246,0.0652980155,0.0874526309,0.0070581961,0.0063567567,0.0889943256,0.0916638933,0.0140144888,0.0347320544,0.0339817603,0.0229979242,0.0140994517,0.1195880673,0.1141298424,0.1468821880,0.1754764412,0.1608246193,0.1233007983,0.1389033399,0.0597832028,0.3626084395,0.2897536496,0.1289346234,0.0429991037,0.0665352060,0.0553096213,0.0532921504,0.0362652545,0.0256978337,0.1229923796,0.0617615451,0.0072738609,0.1510649678,0.0925029079,0.0501785404,0.0870363999,0.0776517654,0.0535305162,0.1046080142,0.0135948832,0.0061903677,0.0806900326,0.0094537076,0.0280821722,0.0244990334,0.0016117148,0.0180809241,0.1639154987
0.0193016290,0.0667759865,0.0104301844,0.0720611048,0.1042114930,0.0403176134,0.0841706425,0.0783770187,0.0395858042,0.0285873633,0.0936826785,0.1675310260,0.3105275537,0.3437677079,0.0624874126,0.1400357304,0.0959700569,0.1177936912,0.1735050156,0.0271984166,0.0580986762,0.0744038674,0.1601871785,0.0839409497,0.1159488892,0.6600613162,0.2024221426,0.1406835257,0.0313462122,0.1066747799,0.3081109956,0.0969850439,0.2393758124,0.1342831993,0.0389480343,0.0832862078,0.1119799632,0.1724904339,0.0633007894,0.1721189457,0.1578873982,0.0471553006,0.0258256954,0.0223529097,0.0590701761,0.0167772946,0.0818555994,0.0523297412,0.0134506716,0.0936739055,0.0265090454,0.0242789605,0.0976063357,0.0104323817,0.0428182209,0.1173332670,0.1150252006,0.0497091144,0.0520141547,0.0347160555,0.0132959893,0.0116308880,0.0816498762,0.0918156395,0.3758498585,0.0725090169,0.2059902438,0.2223241943,0.1367539138,0.1667646536,0.1318804133,0.1096775800,0.0790495719,0.0468547588,0.1766525231,0.1721830040,0.2324815492,0.1372811416,0.0891598039,0.0989870253,0.0395591691,0.0589139521,0.1227754817,0.1469082307,0.0666059683,0.0366952078,0.0382024108,0.0191047215,0.0203777599,0.0777562737,0.0405829563,0.0082442398,0.0362055650,0.0895604955,0.0959614798,0.0046645623,0.0327753809,0.5859638181,0.0224085417,0.0239860535
0.0070687515,0.1085577348,0.3304152959,0.0324665174,0.0630821191,0.2496323545,0.0612258870,0.0637735680,0.1380756108,0.2541002864,0.0952089351,0.1138087543,0.4851425877,0.1004874582,0.1901857590,0.1271401516,0.0941746398,0.0748147348,0.0843743266,0.0369120345,0.0022779935,0.0762750522,0.0260222213,0.0067820287,0.2276791889,0.3553108258,0.0258015784,0.0437857116,0.0884986298,0.4947129823,0.0754956797,0.0496356967,0.3132636798,0.0595649094,0.0449506264,0.1110474610,0.1214481224,0.1985881889,0.3447215537,0.1433803490,0.0213352384,0.1759399763,0.0620922280,0.0351862433,0.0115343641,0.0452854376,0.0399894530,0.0087660999,0.0512026727,0.0156050634,0.0220290913,0.2062795186,0.0082162279,0.0153680877,0.2606332939,0.0376211345,0.0242184258,0.0371166316,0.0163348574,0.0175445466,0.0613809967,0.0400733081,0.1309779258,0.0259347560,0.0720503253,0.1317285719,0.1521053848,0.1638788505,0.1543344887,0.1449994136,0.1555599398,0.1661397943,0.0565413193,0.1480055475,0.1078882714,0.0885085230,0.1625443745,0.1527356378,0.0634042099,0.1532869313,0.1010335703,0.0184765760,0.0535695204,0.0518642395,0.0053668818,0.0095779863,0.0116366804,0.0047335988,0.0221824840,0.0661796669,0.1673327223,0.0568345012,0.0525361088,0.0405881968,0.0112455586,0.2958473067,0.0278995487,0.1502572181,0.0893607401,0.1699500367
0.2062019552,0.0574398219,0.0504901008,0.3481702851,0.0152921002,0.0831488366,0.2705047263,0.0288622029,0.0394669302,0.0594842200,0.0282631867,0.0418214603,0.0514031992,0.0797625922,0.0296846320,0.0189433541,0.0304264190,0.0054069521,0.0055255964,0.0486322212,0.3539898168,0.0201253415,0.0170917974,0.3735256848,0.1133153477,0.0147583373,0.0729658958,0.0793006577,0.0386297766,0.1424424695,0.2646344358,0.1836970314,0.0466096552,0.0422095454,0.3662759401,0.0546796550,0.1271563846,0.1177614310,0.2006788795,0.1634208162,0.0892676968,0.0221735475,0.0073009731,0.0117737418,0.1723832619,0.2081534067,0.0225038616,0.0104610738,0.0181499813,0.0306809067,0.0439443137,0.0080257601,0.0388677137,0.0285165011,0.0175792223,0.0414331677,0.0318447919,0.0103894559,0.0232308502,0.0419978883,0.2752446137,0.0519349108,0.0139987139,0.1088448320,0.1299760652,0.1349334471,0.1996664401,0.2065311437,0.1761016895,0.1821786786,0.2082751620,0.2157276857,0.0612167491,0.0768049275,0.2883854370,0.0493065987,0.0570636751,0.2738904856,0.0812320191,0.2258027891,0.1034481190,0.2945267344,0.0910815029,0.0240911554,0.0699885064,0.0328374510,0.1227041751,0.4941314339,0.0231186951,0.0165253090,0.0403388534,0.0490616472,0.0380972387,0.2305347963,0.0540825484,0.0344376409,0.1625579380,0.0801247214,0.1739165536,0.1206185053
0.0144702239,0.0125010535,0.2044773735,0.0650886406,0.1492415582,0.0376554366,0.0492363769,0.2743167155,0.0166811184,0.0082801409,0.0191579739,0.0134578850,0.0051297498,0.0529697602,0.0333941961,0.0745334446,0.0670288740,0.0565508825,0.1030185560,0.0737990285,0.0508720393,0.1347949807,0.0366905116,0.1125891594,0.0349581848,0.0279246253,0.0629452899,0.0316068988,0.5205236184,0.1000330108,0.0429314890,0.2150844539,0.0949700102,0.1507591043,0.0625331049,0.3321037742,0.0484084535,0.1176933180,0.0973439237,0.0755427945,0.0653806816,0.0056875407,0.1298933257,0.4376379217,0.0205721105,0.0290443754,0.2174106266,0.0406963872,0.0742976968,0.0572880440,0.0330918944,0.0308085222,0.0688003538,0.0956163811,0.0318229428,0.1436635832,0.0656875692,0.0296790009,0.0949768637,0.1524492670,0.0385564115,0.0157083287,0.1348098596,0.1357609725,0.1493308847,0.1655677687,0.1941716979,0.1882572294,0.2108523218,0.2208166209,0.0975397667,0.1399872261,0.4502564134,0.1141243251,0.0173142560,0.0396451072,0.0664511448,0.0910023345,0.0179171097,0.0969541096,0.1606135732,0.0522282416,0.0451113570,0.0851056365,0.1284269994,0.1404776989,0.0677166596,0.0935753990,0.1363186289,0.0499510066,0.0040453746,0.0103257287,0.0332757656,0.0247679403,0.1683044698,0.0205679697,0.0265387419,0.0851149649,0.1925057161,0.0564643084
