# iters=2000 n_orient=8 n_actions=6 allowed_actions=3
# orient=0 action=0
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0308798540,0.0310039923,0.0836762283,0.0875741670,0.0916587234,0.0959478578,0.1005293898,0.1053990729,0.1102307783,0.1149512042,0.1198085597,0.1249095802,0.1302695934,0.1359152613,0.1418982545,0.1482798494,0.1551254572,0.1625580282,0.1708098665,0.1805151597,0.1925444485,0.2078042630,0.2205447384,0.2340354556,0.2469297482,0.2393706604,0.2268469612,0.2145447850,0.1997474660,0.1865246453,0.1753445732,0.1658485304,0.1574727579,0.1498872671,0.1429002160,0.1363909214,0.1302743447,0.1244918098,0.1190028804,0.1137786372,0.1087967740,0.1040408538,0.0994989701,0.0951514221,0.0909866673,0.0870758616,0.0833272934,0.0306779030,0.0307796460,0.0311950223,0.0312120577,0.0857892072,0.0598378213,0.0918323809,0.0498964770,0.0311656710,0.0266123910,0.0277064852,0.0759026022,0.1448222248,0.1373318281,0.0484031597,0.0285901560,0.0249086795,0.0277802560,0.0283214710,0.0269960594,0.0238494743,0.0202137948,0.0197509909,0.0208551750,0.0230509513,0.0250635836,0.0255331980,0.0213421098,0.0126437450,0.0089415593,0.0082640472,0.0081671525,0.0081895725,0.0082343242,0.0083489079,0.0088373344,0.0101303772,0.0090663690,0.0113729629,0.0185967735,0.0100324058,0.0105101235,0.0177447344,0.0114299863,0.0064777753,0.0042395696,0.0068893226,0.0218370129,0.0254188254,0.0205244839,0.0102565489,0.0286999852,0.0120303622
0.0418340381,0.0413270417,0.1150382141,0.1202795702,0.1263837925,0.1328534869,0.1394261185,0.1465224097,0.1544406065,0.1617902690,0.1683719129,0.1752202415,0.1823535291,0.1897867501,0.1975276648,0.2055779792,0.2139380912,0.2226711241,0.2319586689,0.2420056474,0.2529634019,0.2647817801,0.2792509926,0.2959729301,0.2990864321,0.2957914852,0.2917000334,0.2812838145,0.2677506086,0.2537092284,0.2404828140,0.2284368156,0.2175040324,0.2074542947,0.1980875659,0.1892638260,0.1808910908,0.1729074592,0.1652727379,0.1579638549,0.1509551872,0.1442521860,0.1377947513,0.1316077828,0.1305634113,0.1201416444,0.1127077670,0.0407747877,0.0423872616,0.0436511635,0.0460545105,0.0489552721,0.0655645074,0.0644455887,0.0725635064,0.0569759878,0.0437133018,0.0373451861,0.0377188924,0.0538724126,0.0842408268,0.0933418499,0.0604999334,0.0433904638,0.0366542898,0.0348930340,0.0306661108,0.0235748109,0.0227516984,0.0236993807,0.0269721676,0.0303262812,0.0321177859,0.0295084523,0.0182566091,0.0102725851,0.0085529544,0.0082886426,0.0082472874,0.0082821633,0.0083508425,0.0084191591,0.0086088085,0.0095684261,0.0121252704,0.0078309783,0.0185735129,0.0267080143,0.0166445077,0.0245212745,0.0267608386,0.0146350781,0.0163485771,0.0243289712,0.0287959948,0.0177413281,0.0377829887,0.0091333063,0.0009735106,0.0130200556
0.0464903255,0.1162728080,0.1299957244,0.1362869595,0.1433017725,0.1513166208,0.1602717161,0.1688803470,0.1776270142,0.1895348852,0.2074971785,0.2153215755,0.2163468382,0.2249632133,0.2336093313,0.2424562177,0.2514395261,0.2604472233,0.2693485885,0.2780697812,0.2866666219,0.2953998546,0.3046215920,0.3146059028,0.3159279906,0.3132719641,0.3124384500,0.3065168463,0.2958817314,0.2828724620,0.2694352353,0.2564164069,0.2441371207,0.2326148203,0.2217672628,0.2114907181,0.2017023546,0.1923448273,0.1833839516,0.1748072231,0.1666344768,0.1587145572,0.1512191841,0.1439220073,0.1484596092,0.1355376175,0.1277379689,0.0479953528,0.0497239468,0.0569287469,0.0565067360,0.0535495325,0.0531069468,0.0574020709,0.0572480992,0.0562128717,0.0497047411,0.0438454014,0.0408632595,0.0411141863,0.0465907856,0.0571752660,0.0624185217,0.0531880936,0.0434357236,0.0346446108,0.0222901608,0.0233421012,0.0239659279,0.0285627651,0.0327466242,0.0348364011,0.0334873872,0.0242509430,0.0125189882,0.0090427227,0.0083224965,0.0081934033,0.0082004893,0.0082248679,0.0083323441,0.0084207188,0.0085091660,0.0087535639,0.0105467216,0.0158435398,0.0084786685,0.0085734656,0.0441634275,0.0140525326,0.0091689424,0.0404043944,0.0232857902,0.0388959056,0.0303805893,0.0185816076,0.0297515990,0.0099851715,0.0166556467,0.0496503673
0.1262845600,0.1384654203,0.1456667381,0.1532316676,0.1610458377,0.1695176235,0.1792627560,0.1928886621,0.2145359480,0.2282372421,0.2348197660,0.2365519686,0.2359941997,0.2451411947,0.2540205596,0.2629172715,0.2717034012,0.2801244100,0.2878181568,0.2944151156,0.2997981704,0.3044220211,0.3104912429,0.3194869326,0.3215890371,0.3190032808,0.3200884714,0.3157616459,0.3066333320,0.2943428226,0.2807570699,0.2670629398,0.2537756229,0.2411074155,0.2290749668,0.2176358450,0.2067336664,0.1963250735,0.1863848949,0.1769106070,0.1679335194,0.1593195153,0.1511966731,0.1434269834,0.1484080473,0.1404495305,0.0641893698,0.1401307970,0.0866362231,0.0644520693,0.0586281402,0.0567725401,0.0536157455,0.0490732186,0.0453938712,0.0439761612,0.0445525194,0.0444232436,0.0433507982,0.0421431438,0.0415614329,0.0422433694,0.0437801090,0.0434486273,0.0395565640,0.0184997747,0.0244367580,0.0231057202,0.0303518725,0.0353572685,0.0369570893,0.0355887317,0.0292401217,0.0160878810,0.0101487498,0.0088793296,0.0083217240,0.0080760264,0.0081231016,0.0081611123,0.0082686220,0.0084396995,0.0085551221,0.0085904445,0.0090235251,0.0122139860,0.0135149812,0.0093092691,0.0379412792,0.0299508125,0.0089852860,0.0611226515,0.1184093838,0.0394511716,0.0177331695,0.0117051470,0.0087376723,0.0228326277,0.0148935838,0.0147449231
0.1520646641,0.1575769646,0.1744684514,0.1825292925,0.1848115560,0.1950295372,0.2079753273,0.2243925079,0.2423329107,0.2475298980,0.2494627041,0.2495092800,0.2482622684,0.2572043470,0.2658947294,0.2743791925,0.2825035556,0.2899730376,0.2963688077,0.3010932521,0.3036621900,0.3044394572,0.3084168127,0.3182252826,0.3211905472,0.3180218092,0.3192792123,0.3168436515,0.3070930766,0.2943738159,0.2799716507,0.2653322791,0.2510054096,0.2372749832,0.2242050706,0.2117929751,0.2000095267,0.1888312996,0.1782450077,0.1682450808,0.1588608457,0.1501078275,0.1427775008,0.0539244495,0.3043566580,0.0890230956,0.1463149831,0.0984038999,0.0999466288,0.0790315001,0.0645148877,0.0558369651,0.0473373915,0.0397586232,0.0380890051,0.0397055794,0.0417809447,0.0429557622,0.0429418258,0.0419666422,0.0402152054,0.0378754153,0.0947248122,0.0121424297,0.0131668087,0.0267302475,0.0206305278,0.0339617012,0.0389867737,0.0387582848,0.0366799617,0.0325559028,0.0205099297,0.0113299188,0.0095170977,0.0090843331,0.0085429653,0.0080208402,0.0079294821,0.0081208349,0.0081358088,0.0084670948,0.0085989291,0.0088590015,0.0088271236,0.0087364700,0.0104106523,0.0150720520,0.0098630592,0.0205159292,0.0577767274,0.0277036512,0.0202078392,0.0105516795,0.0088633525,0.0250404853,0.0029759672,0.0028038297,0.0176161358,0.0095994703
0.1730115789,0.1908683655,0.1975171184,0.2005085446,0.2025590653,0.2145739283,0.2282502600,0.2429771438,0.2573465605,0.2589561239,0.2589105441,0.2576885302,0.2556403844,0.2641056728,0.2722211829,0.2799579057,0.2871337891,0.2934515912,0.2985270390,0.3020053711,0.3034565463,0.3027007285,0.2988940621,0.3017527565,0.3161065021,0.3095944026,0.3086087435,0.3076888066,0.2985152460,0.2835615452,0.2676467177,0.2514899283,0.2360202569,0.2213472615,0.2075428028,0.1945781306,0.1824302880,0.1710750598,0.1604976361,0.1506791378,0.1415379434,0.1333446029,0.1258415504,0.0436177537,0.0589900341,0.1587564686,0.0834317666,0.0579677295,0.0602123515,0.0651776594,0.0594649560,0.0447148535,0.0340981211,0.0350532774,0.0384549385,0.0408896917,0.0417088150,0.0417732340,0.0412283253,0.0396121565,0.0368064575,0.0335347741,0.0881188876,0.0772940741,0.0091700202,0.0166816077,0.0442004025,0.0432753624,0.0393208500,0.0369838137,0.0345649861,0.0259276029,0.0132164178,0.0095320082,0.0092689651,0.0093139166,0.0089538760,0.0082195401,0.0076810101,0.0079110111,0.0081291437,0.0082792691,0.0087976239,0.0095415939,0.0088982703,0.0083256902,0.0081867710,0.0079213421,0.0072992770,0.0082509515,0.0104506673,0.0113127760,0.0110713277,0.0154862999,0.0122769687,0.0084920579,0.0232879202,0.0182188885,0.0079713558,0.0095253708
0.1969574534,0.2090728400,0.2118112372,0.2141005840,0.2164177117,0.2286930266,0.2415726868,0.2543892010,0.2665029981,0.2660827791,0.2647178268,0.2624946457,0.2595163476,0.2672390667,0.2745140472,0.2812730574,0.2873515455,0.2925293407,0.2965522165,0.2991011253,0.2998993983,0.2986714075,0.2958441028,0.2897560102,0.2928489169,0.3076977330,0.2997708500,0.2950856321,0.2887328517,0.2730603526,0.2552106773,0.2376948952,0.2212896255,0.2061072718,0.1921058028,0.1791992873,0.1673194520,0.1564137271,0.1464380514,0.1373380249,0.1290576321,0.1214892965,0.1143802710,0.1008219272,0.0397070319,0.0075653609,0.0191500357,0.0382463721,0.0435510437,0.0448637815,0.0339334103,0.0256553899,0.0331792134,0.0392183506,0.0417311873,0.0417279536,0.0413474888,0.0404818166,0.0384498061,0.0352194917,0.0318341531,0.0294530973,0.0300583230,0.0804076345,0.1531832981,0.0576080226,0.0369808277,0.0376649430,0.0373527093,0.0351824496,0.0308855405,0.0179245300,0.0102976114,0.0088958745,0.0089686547,0.0093459794,0.0093824762,0.0087628518,0.0077282452,0.0073709587,0.0081556980,0.0080232553,0.0095000286,0.0103660249,0.0091731657,0.0079023271,0.0082949668,0.0069157779,0.0075337357,0.0092047521,0.0104287914,0.0099273170,0.0113494079,0.0109269816,0.0106553933,0.0091344498,0.0068442563,0.0063572786,0.0085346353,0.0116057028
0.0920138409,0.2275685350,0.2228306749,0.2248402346,0.2268001955,0.2385167017,0.2501315334,0.2613139261,0.2719793292,0.2702335341,0.2677395269,0.2644857791,0.2605065524,0.2672769825,0.2735341682,0.2792074002,0.2841852519,0.2883351671,0.2915116556,0.2935546350,0.2942525854,0.2933388768,0.2907301970,0.2877842902,0.2841071639,0.2904858163,0.3049120758,0.2943527688,0.2846950685,0.2732772518,0.2545303296,0.2364692653,0.2194513271,0.2040443425,0.1900069215,0.1772624134,0.1656847052,0.1551945642,0.1457075516,0.1371311938,0.1293608552,0.1222803832,0.1153747060,0.1089576898,0.0967240991,0.0319676151,0.0309914121,0.0334072285,0.0377207436,0.0234984808,0.0170366224,0.0340388702,0.0418116327,0.0429408176,0.0418134643,0.0413591117,0.0402266743,0.0374966275,0.0335412786,0.0299734817,0.0278989913,0.0273858833,0.0280187475,0.0309857546,0.0448016220,0.0644773516,0.0494099130,0.0371164445,0.0337377754,0.0333118796,0.0251619086,0.0129210527,0.0097687029,0.0088057320,0.0085948760,0.0090877018,0.0095633495,0.0094429286,0.0084319995,0.0069383241,0.0076430888,0.0081895405,0.0116985110,0.0098360209,0.0095530101,0.0084838974,0.0069728582,0.0064427731,0.0089537093,0.0112369340,0.0086060238,0.0118840434,0.0107499761,0.0112079532,0.0098084273,0.0109775054,0.0050286521,0.0069976754,0.0116517847,0.0130933466
0.2489783768,0.2789209211,0.2736140599,0.2328519423,0.1031269483,0.2495448088,0.2555190613,0.2653423676,0.2747918598,0.2718217352,0.2681867995,0.2638251035,0.2587807918,0.2644486297,0.2695992742,0.2741818999,0.2781508311,0.2814632872,0.2840682166,0.2858902316,0.2868126210,0.2867318616,0.2854286410,0.2829884263,0.2806728079,0.2847987183,0.2978442860,0.3011612330,0.2907758079,0.2794961659,0.2634919185,0.2453789873,0.2281070796,0.2122237337,0.1979077820,0.1849980356,0.1733791667,0.1629458311,0.1535735032,0.1451234726,0.1374546749,0.1304210691,0.1238919507,0.1175778738,0.1114245362,0.0388056272,0.1014167029,0.0377774112,0.0058308768,0.0123874223,0.0456142645,0.0462396133,0.0429001475,0.0414830128,0.0415656263,0.0400764352,0.0364723345,0.0317617774,0.0281611060,0.0265371663,0.0265895449,0.0276747032,0.0292904101,0.0311611882,0.0335146089,0.0361904377,0.0352492845,0.0345852878,0.0350269094,0.0323779459,0.0179418478,0.0109611479,0.0099818865,0.0091852957,0.0084142138,0.0085194705,0.0094260660,0.0097969698,0.0095088883,0.0078909906,0.0056354294,0.0142013941,0.0099382202,0.0094688747,0.0089252267,0.0100808110,0.0052672640,0.0073349205,0.0129439579,0.0118382676,0.0084639727,0.0101253788,0.0122450363,0.0096115589,0.0117175952,0.0062585246,0.0046865445,0.0128222947,0.0117914309,0.0182353970
