# iters=5000 n_orient=8 n_actions=6 allowed_actions=3
# orient=0 action=0
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000014855,0.0000011825,0.0000006807,0.0000000001,0.0000000005,0.0000014929,0.0000010823,0.0000000001,0.0000000002,0.0000017046,0.0000017179,0.0000017310,0.0398891455,0.0434064365,0.0473708466,0.0517822732,0.0568878198,0.0626613342,0.0674825561,0.0757033869,0.0867998370,0.0812541687,0.0772539650,0.0733536125,0.0698416468,0.0651487946,0.0585381001,0.0561802934,0.0563616671,0.0490110019,0.0375353697,0.0000014026,0.0000000427,0.0000000640,0.0000006657,0.0060081342,0.0000007293,0.0539408005,0.0545419200,0.0000019340,0.0000012587,0.0000009861,0.0000001486,0.0000000000,0.0000000000,0.0000000000,0.0000000714,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000004172,0.0000006673,0.0000009651,0.0000006488,0.0000006510,0.0000005909,0.0000004072,0.0000000001,0.0000002572,0.0000000000,0.0000004373,0.0000006232,0.0000000000,0.0000000000,0.0154558913,0.0173332721,0.0211500235,0.0210343489,0.0212994295,0.0194596472,0.0194114752,0.0198032581,0.0202684664,0.0198885845,0.0000009001,0.0000009444,0.0000032221,0.0000004883,0.0000005828,0.0000000001,0.0000000001,0.0000000001,0.0000000001,0.0000000000,0.0000000001,0.0000003572,0.0000000827,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000001047,0.0000000000,0.0000000001,0.0000000001,0.0000001482
0.0000019424,0.0000017455,0.0000013895,0.0000008531,0.0000000001,0.0000000004,0.0000017764,0.0000015945,0.0000000001,0.0000000000,0.0000022252,0.0466898458,0.0527959749,0.0577405984,0.0634425850,0.0704138866,0.0782178026,0.0871091257,0.1032635276,0.1297142331,0.1232665946,0.1161541038,0.1107168686,0.1082456682,0.1025140813,0.0977633469,0.0930478615,0.0759475543,0.0725595986,0.0656278323,0.0556992118,0.0518546420,0.0385654501,0.0294720567,0.0213700840,0.0161181457,0.0000008405,0.0000048742,0.9994319252,0.0000029161,0.0000019881,0.0000012383,0.0000000000,0.0000000000,0.0000000000,0.0000001838,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000004761,0.0000007208,0.0000011611,0.0000000293,0.0000006693,0.0000006701,0.0000006758,0.0000006250,0.0000004631,0.0000000001,0.0000003689,0.0000000000,0.0000006713,0.0000006990,0.0000007487,0.0188609526,0.0213123701,0.0201831328,0.0244957440,0.0238912064,0.0209371166,0.0211667766,0.0220836394,0.0220079605,0.0000010182,0.0228773887,0.0000186242,0.0000003151,0.0000007639,0.0000000001,0.0000000001,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000003996,0.0000001523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000001446,0.0000000000,0.0000000000,0.0000000001,0.0000001809,0.0000000001
0.0000022414,0.0000021023,0.0000019517,0.0000016526,0.0000011422,0.0000000001,0.0000000003,0.0000017340,0.0000017366,0.0000018015,0.0514081762,0.0595852727,0.0649964496,0.0712107790,0.0784241214,0.0864462333,0.0981474073,0.1199702045,0.1573999880,0.1539392868,0.1461627673,0.1398240172,0.1347894395,0.1285074195,0.1345060123,0.1681566947,0.9800233144,0.0026793407,0.0775050087,0.0000034822,0.0771654372,0.0805779387,0.0914737674,0.0525697863,0.0391456210,0.0241950967,0.0164533472,0.0000007087,0.0000002877,0.0000222945,0.0000026781,0.0000000001,0.0000000000,0.0000000000,0.0000005196,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000005544,0.0000007773,0.0000013363,0.0000000471,0.0000000000,0.0000000074,0.0000006715,0.0000006694,0.0000006862,0.0000006565,0.0000005369,0.0000000000,0.0000006245,0.0000000000,0.0000000000,0.0159783846,0.0189069920,0.0207867227,0.0236189005,0.0229559299,0.0223246152,0.0203771373,0.0193274211,0.0193033249,0.0196554094,0.0191716956,0.0000000000,0.0000000586,0.0000010196,0.0000000001,0.0000000001,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000004534,0.0000003002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000002039,0.0000000000,0.0000000000,0.0000000001,0.0000002261,0.0000000001,0.0000000001
0.0000025174,0.0000024162,0.0000022722,0.0000021418,0.0000019476,0.0000017281,0.0000000001,0.0000000000,0.0000024293,0.0544295085,0.0643774543,0.0716856937,0.0811435267,0.0948515199,0.0973989377,0.1111197896,0.1326344211,0.1631630993,0.1636889477,0.1670545295,0.1605359176,0.1557267853,0.1543105584,0.1699494464,0.2247790226,0.5530613446,0.8199221800,0.0000039514,0.0000041356,0.0000037277,0.0882046014,0.1119025983,0.1374691722,0.9853028817,0.0031328518,0.0000017534,0.0255784024,0.0187399626,0.0160311667,0.0112837448,0.0000251462,0.0002296499,0.0013190660,0.0000002776,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000006636,0.0000008323,0.0000016025,0.0000001009,0.0000000000,0.0000000000,0.0000000000,0.0000000145,0.0000006730,0.0000006667,0.0000006923,0.0000006807,0.0000006387,0.0000000000,0.0000000000,0.0162055490,0.0187693261,0.0216463027,0.0266119040,0.0270981067,0.0251693433,0.0248847985,0.0232322950,0.0221993995,0.0236202801,0.0240369710,0.0237682769,0.0226952585,0.0000010732,0.0000000001,0.0000000001,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000005239,0.0000005574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000002943,0.0000000000,0.0000000000,0.0000000001,0.0000002908,0.0000000001,0.0000000001,0.0000003271
0.0000027802,0.0000027026,0.0000026236,0.0000025023,0.0000022818,0.0000017945,0.0000017608,0.0000018661,0.0571681851,0.0678990304,0.0768421087,0.0898197872,0.1113893764,0.1236669869,0.1209686748,0.1393275625,0.1603361004,0.1774799069,0.1799023959,0.1827549306,0.1671842713,0.1785952275,0.1885115157,0.2587985162,0.4297816815,0.6322045109,0.4593124969,0.4306093462,0.0000026834,0.0000045124,0.1349798776,0.1896244561,0.9740928111,0.0002629709,0.0000424463,0.0000018925,0.0382741555,0.0307151113,0.0196420606,0.0158316304,0.0121004975,0.0110140719,0.0178786672,0.0182352663,0.0456152557,0.0228293405,0.0154553385,0.0120880572,0.0000005670,0.0000006716,0.0000008880,0.0000020947,0.0000002852,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000349,0.0000006749,0.0000006624,0.0000006962,0.0000006964,0.0000007216,0.0000007693,0.0191425730,0.0219507939,0.0256833161,0.0295774784,0.0299254059,0.0277550261,0.0262493756,0.0267947431,0.0282438587,0.0301349882,0.0301464965,0.0319812786,0.0310023230,0.0308121569,0.0459191241,0.0516340982,0.0491924918,0.0382302619,0.0000011125,0.0000007228,0.0000005687,0.0000002891,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000004459,0.0000000000,0.0000000000,0.0000000000,0.0000003889,0.0000000001,0.0000000001,0.0000004058,0.0000000001
0.0000030360,0.0000030029,0.0000029165,0.0000027459,0.0000025551,0.0000025961,0.0000027578,0.0000030186,0.0745365913,0.0843565252,0.0978908667,0.1179744539,0.1458633936,0.1436529674,0.1397272652,0.1572026440,0.1739037802,0.1902539840,0.1927522302,0.1961116133,0.1941665297,0.2228285876,0.2647983463,0.3718439469,0.5142018947,0.5514189640,0.3857662530,0.2949853827,0.1837508795,0.1623620268,0.2213910570,0.5414163238,0.8113601709,0.1127412365,0.0000067955,0.0795697407,0.0000022112,0.0420539704,0.0318247859,0.0214075252,0.0150436065,0.0116899692,0.0108722253,0.3398542333,0.0515395697,0.0346117373,0.0254710358,0.0146994475,0.0000006858,0.0000007338,0.0000034153,0.0000003582,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001860,0.0000006776,0.0000006565,0.0000006995,0.0000007290,0.0000007739,0.0191916379,0.0218973734,0.0265028753,0.0277558938,0.0261049306,0.0258136753,0.0239915859,0.0246748120,0.0275920602,0.0279729262,0.0277859860,0.0291744053,0.0311046466,0.0880191518,0.0924304988,0.0850359704,0.0702211054,0.0542417349,0.0000009383,0.0000100574,0.0000000012,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000007072,0.0000000000,0.0000000000,0.0000000000,0.0000005488,0.0000000001,0.0000000001,0.0000005225,0.0000000001,0.0000000001
0.0000032859,0.0000032457,0.0000031915,0.0000031643,0.0000031954,0.0000032835,0.0000034636,0.0000035757,0.0882457954,0.1025527211,0.1229943079,0.1540654151,0.1648123928,0.1592850192,0.1526027242,0.1683251765,0.1842862058,0.2021211849,0.2081837313,0.2226487978,0.2341261996,0.2850998567,0.3423261976,0.4456141175,0.5163182033,0.4529811545,0.3690911703,0.3049641563,0.6933788876,0.0004379084,0.4059818919,0.6238505287,0.4542506691,0.0001733093,0.0486041131,0.0000060421,0.1858592924,0.0462415329,0.0000018332,0.0333064321,0.0240075507,0.0124839336,0.0086114777,0.1186083733,0.0398655846,0.0505087480,0.0452495034,0.0000015974,0.0109081659,0.0000281265,0.0000001270,0.0000000006,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000002,0.0000000000,0.0000002529,0.0000006821,0.0000006485,0.0000007410,0.0000007768,0.0192232986,0.0220092918,0.0261390303,0.0254584630,0.0231805020,0.0229386454,0.0237284931,0.0244943129,0.0249258016,0.0252936347,0.0000011525,0.0254427229,0.2836080299,0.0002773758,0.5894784289,0.1342201802,0.0810593848,0.0471839073,0.0159830816,0.0007242294,0.0002204652,0.0129309962,0.0161636177,0.0164142003,0.0000007864,0.0000000000,0.0000000000,0.0000000000,0.0000008135,0.0000000001,0.0000000000,0.0000007113,0.0000000001,0.0000000001,0.0000007641
0.0000035441,0.0000035431,0.0000035833,0.0000037058,0.0000039429,0.0000040287,0.0000039748,0.0000041381,0.1042217828,0.1240194214,0.1514602533,0.1848288890,0.1787976797,0.1709057456,0.1616585262,0.1772090768,0.1948891219,0.2176023305,0.2321550687,0.2593702729,0.2831257056,0.3477965093,0.4009691195,0.4700609217,0.4638780553,0.4219631649,0.3677672916,0.4616026797,0.5479424567,0.0000107186,0.0035967565,0.5342632948,0.0003894161,0.0350001538,0.0000098919,0.1567134940,0.0227000173,0.0000023306,0.0000019094,0.0379050579,0.0315641011,0.0250947644,0.0094944090,0.0841602568,0.1104786798,0.0726637239,0.0000026246,0.0277325884,0.0000030379,0.0000000161,0.0000000000,0.0000000001,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000002472,0.0000000284,0.0000000000,0.0000000000,0.0000003833,0.0000006898,0.0000007357,0.0000007820,0.0195659101,0.0223236945,0.0269711149,0.0197210398,0.0219462775,0.0222298903,0.0215392077,0.0214833803,0.0227789423,0.0224920012,0.0000009794,0.0000010330,0.0001781856,0.0000007537,0.0565645793,0.0915867345,0.0558360812,0.0374698751,0.0111801403,0.0112684781,0.0147975090,0.0185980450,0.0212049544,0.0207530515,0.0206293293,0.0200406228,0.0188973867,0.0000009131,0.0000000000,0.0000000000,0.0000010221,0.0000000001,0.0000000001,0.0000009883,0.0000014552
0.0000038726,0.0000039744,0.0000041400,0.0000043393,0.0000044499,0.0000050857,0.0000075875,0.1054725634,0.0000065361,0.1503017202,0.1775173736,0.2096051810,0.2361907042,0.9443875958,0.0000092613,0.1883328874,0.2086966196,0.2392551021,0.2635038420,0.3020403854,0.3322446190,0.3985717234,0.4290467835,0.4528761395,0.4365389713,0.5898422217,0.0000596525,0.4789045773,0.4475245159,0.3613899419,0.0000118873,0.0008018349,0.0273564326,0.0000137417,0.1354585244,0.0147359082,0.0000042112,0.0000087524,0.0507124191,0.0000022670,0.0433461224,0.0350582959,0.0233524221,0.0000017222,0.0788120158,0.0656747260,0.0000007613,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000000001,0.0000000000,0.0000000001,0.0000009634,0.0000000000,0.0000000002,0.0000002948,0.0000000000,0.0000000000,0.0000006728,0.0000007258,0.0000007898,0.0203710716,0.0232717689,0.0143715892,0.0205859212,0.0217179916,0.0201064636,0.0213885147,0.0238201914,0.0238764699,0.0000010708,0.0231977643,0.0000189744,0.0000089472,0.0273867011,0.0000014925,0.0326498827,0.0312851933,0.0286272192,0.0093884026,0.0137155117,0.0213299093,0.0246331584,0.0262991726,0.0246840748,0.0244800592,0.0249594639,0.0241648369,0.0252910348,0.0240127279,0.0000011907,0.0000000000,0.0000000001,0.0000013984,0.0000016894,0.0000018935
